"x"
"gospodarstwa w 2006r",9187
"gospodarstwa w 2007r",11870
"gospodarstwa w 2008r",14896
"gospodarstwa w 2009r",17091
"gospodarstwa w 2010r",20582
"gospodarstwa w 2011r",23449
"gospodarstwa w 2012r",25944
"gospodarstwa w 2013r",26598
"gospodarstwa w 2014r",24829
"gospodarstwa w 2015r",22277
"gospodarstwa w 2016r",22435
"gospodarstwa w 2017r",20257
"gospodarstwa w 2018r",19207
"powierzchnia uzytkow rolnych w 2006r",228039
"powierzchnia uzytkow rolnych w 2007r",287530
"powierzchnia uzytkow rolnych w 2008r",314852
"powierzchnia uzytkow rolnych w 2009r",367061
"powierzchnia uzytkow rolnych w 2010r",519070
"powierzchnia uzytkow rolnych w 2011r",605521
"powierzchnia uzytkow rolnych w 2012r",661686
"powierzchnia uzytkow rolnych w 2013r",669971
"powierzchnia uzytkow rolnych w 2014r",657902
"powierzchnia uzytkow rolnych w 2015r",580731
"powierzchnia uzytkow rolnych w 2016r",536577
"powierzchnia uzytkow rolnych w 2017r",494977
"powierzchnia uzytkow rolnych w 2018r",484676
